# Logfile created on 2026-08-29 21:48:54 +0200 by logger.rb/v1.5.3
2026-08-29 21:48:54 +0200: Memory Usage (466608K) : radhard_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466608K) : memcap_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466608K) : varicap_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466608K) : flash_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466608K) : intbondvia_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466872K) : intbondmet_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466872K) : devbondvia_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466872K) : devbondmet_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466872K) : devtrench_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (466872K) : redist_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467136K) : graphbot_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467136K) : graphtop_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467136K) : antvia1_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467136K) : antmetal2_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467136K) : graphcont_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467400K) : siwg_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467400K) : siwg_filler has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467400K) : siwg_nofill has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467400K) : sigrating_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467400K) : singrating_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467664K) : graphpas_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467664K) : emwind3_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467664K) : emwihv3_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467664K) : redbulay_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467664K) : smos_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467928K) : graphpad_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467928K) : polimide_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467928K) : polimide_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (467928K) : recog_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (468192K) : recog_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (468192K) : recog_esd has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (468192K) : recog_diode has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (468192K) : recog_tsv has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (468192K) : recog_iprobe has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (468456K) : recog_diffprb has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (468456K) : recog_pillar has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (468456K) : recog_sbump has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468456K) : recog_otp has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468456K) : recog_pdiode has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468456K) : recog_mom has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468456K) : recog_momf has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468456K) : recog_pcm has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468720K) : colopen_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468720K) : graphmetal1_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468720K) : graphmetal1_filler has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468720K) : graphmetal1_nofill has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468720K) : graphmetal1_slit has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468984K) : graphmetal1_opc has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468984K) : graphmet1l_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468984K) : graphmet1l_filler has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468984K) : graphmet1l_nofill has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (468984K) : graphmet1l_slit has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469248K) : graphmet1l_opc has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469248K) : extblock_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469248K) : nldd_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469248K) : pldd_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469248K) : next_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469512K) : pext_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469512K) : nexthv_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469512K) : pexthv_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469512K) : graphgate_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469512K) : sinwg_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469776K) : sinwg_filler has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469776K) : sinwg_nofill has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469776K) : mempad_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (469776K) : topvia1_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470040K) : topmetal1_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470040K) : topmetal1_pin has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470040K) : topmetal1_mask has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470040K) : topmetal1_filler has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470040K) : topmetal1_nofill has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470040K) : topmetal1_slit has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470040K) : topmetal1_text has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470040K) : topmetal1_noqrc has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470040K) : topmetal1_res has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470040K) : topmetal1_iprobe has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470304K) : topmetal1_diffprb has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470304K) : inldpwl_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470304K) : polyres_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470304K) : polyres_pin has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470304K) : vmim_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470568K) : nbulaycut_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470568K) : antmetal1_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470568K) : topvia2_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470568K) : topmetal2_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470568K) : topmetal2_pin has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470832K) : topmetal2_mask has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470832K) : topmetal2_filler has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470832K) : topmetal2_nofill has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470832K) : topmetal2_slit has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (470832K) : topmetal2_text has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471096K) : topmetal2_noqrc has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471096K) : topmetal2_res has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471096K) : topmetal2_iprobe has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471096K) : topmetal2_diffprb has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471360K) : snsring_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471360K) : sensor_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471360K) : snsarms_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471360K) : snscmosvia_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471360K) : colwind_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471624K) : flm_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471624K) : hafniumox_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471624K) : memvia_drw has 0 polygons
2026-08-29 21:48:55 +0200: Memory Usage (471624K) : thinfilmres_drw has 0 polygons
